Comment,Cleaned,Polarity,Sentiment
Please roast on nagin 6😅😅😅😅,please roast on nagin 6,0.0,Neutral
Congratulations triggered ❤❤,congratulations triggered,0.0,Neutral
Bhiya wedding to ho gyi hai ab Pre wedding shoot jo kiya tha vo bhi dekha do,bhiya wedding to ho gyi hai ab pre wedding shoot jo kiya tha vo bhi dekha do,0.0,Neutral
"Bhai story time please 😢 
1 din ki baat Hai school ka pahla din tha aur FIR Maine usko dekha fir par ho Gaya 
Fir 6 ma mana osa bata diya 
Fir school khatam ho na ka baad osna bola tu fir story continue hoye fir maths maam ko pata chal gaya fir 7 class ma gaya ab story time nahi pata Summer holiday ha na","bhai story time please  
1 din ki baat hai school ka pahla din tha aur fir maine usko dekha fir par ho gaya 
fir 6 ma mana osa bata diya 
fir school khatam ho na ka baad osna bola tu fir story continue hoye fir maths maam ko pata chal gaya fir 7 class ma gaya ab story time nahi pata summer holiday ha na",0.0,Neutral
Hi Nischay bhaiya lam your big fan and iam so happy for your wedding god always bless you and your rasmalai ❤🎉😊,hi nischay bhaiya lam your big fan and iam so happy for your wedding god always bless you and your rasmalai,0.4,Positive
Nischay malhan wish you a hapiest married life ❣️❤️,nischay malhan wish you a hapiest married life,0.25,Positive
But bruhh what about mithila😢,but bruhh what about mithila,0.0,Neutral
Nishchay bhai ki shaadi ho gai,nishchay bhai ki shaadi ho gai,0.0,Neutral
Nishchay bhai shaadi ki long video kab bhejoge please bhej do long video 📷🫀,nishchay bhai shaadi ki long video kab bhejoge please bhej do long video,-0.05,Neutral
Lets vote for shadi vlog👇,lets vote for shadi vlog,0.0,Neutral
Yaar bhaiya please saadi video dalo 0:26 0:26,yaar bhaiya please saadi video dalo 026 026,0.0,Neutral
"Please new vdo upload krdo,, we all are waiting eagerly",please new vdo upload krdo we all are waiting eagerly,0.13636363636363635,Positive
🎉 Happy anniversary to bhabi and bhai 🎉❤❤❤❤❤❤❤❤ congratulation,happy anniversary to bhabi and bhai  congratulation,0.8,Positive
😂😂😂😂😂😂 oo how so cute   couple,oo how so cute   couple,0.5,Positive
4:12 😂best,412 best,1.0,Positive
Are triggered bhiya aap ne apne sadhi mai nhi bulaya vo Thikk hai lakin vlog dekh ne keliye kivv tadpa rahe hooo jaldi se aapni sadhi ka vlog dal doo 😢❤❤❤❤❤,are triggered bhiya aap ne apne sadhi mai nhi bulaya vo thikk hai lakin vlog dekh ne keliye kivv tadpa rahe hooo jaldi se aapni sadhi ka vlog dal doo,0.0,Neutral
first of all many many happy returns of the day congratulations  I request you to Make same video like engagement vlog,first of all many many happy returns of the day congratulations  i request you to make same video like engagement vlog,0.41,Positive
Aap kya Red Label Peete Ho aapki to Sabhi Old Monk Red Label Victoria Sach Sach batana kaun si Peete aur vahan kis colour ki chaddi pahne Ho,aap kya red label peete ho aapki to sabhi old monk red label victoria sach sach batana kaun si peete aur vahan kis colour ki chaddi pahne ho,0.03333333333333333,Neutral
Piche vah swimming pool Ke Piche Ek bahut sari botale dikh rahi hai please aap mat Piye to aapki health kharab ho jayegi Aur Kisi Ko Bhi Na Piye Salah De😊,piche vah swimming pool ke piche ek bahut sari botale dikh rahi hai please aap mat piye to aapki health kharab ho jayegi aur kisi ko bhi na piye salah de,0.0,Neutral
